b1,b2,b3,b4,label
96.0,84.75,85.5,92.25,1
93.0,82.5,87.75,92.25,1
92.25,81.0,78.75,87.0,1
93.75,82.5,81.75,90.0,1
96.75,84.75,84.75,89.25,1
93.75,83.25,85.5,86.25,1
93.0,82.5,83.25,89.25,1
91.5,81.0,80.25,87.75,1
90.0,80.25,78.75,90.75,1
91.5,81.75,83.25,90.0,1
94.5,84.0,85.5,93.75,1
93.0,81.75,82.5,90.75,1
93.75,82.5,84.0,93.0,1
95.25,84.75,86.25,96.0,1
93.0,81.75,83.25,92.25,1
93.75,83.25,85.5,90.0,1
93.75,82.5,82.5,90.0,1
93.75,82.5,81.75,86.25,1
101.25,90.0,90.0,97.5,1
92.25,82.5,81.75,95.25,1
93.0,82.5,83.25,97.5,1
93.75,82.5,84.75,88.5,1
94.5,82.5,85.5,87.0,1
95.25,83.25,85.5,88.5,1
90.75,79.5,78.0,81.75,1
93.75,82.5,84.0,91.5,1
92.25,81.75,80.25,96.0,1
90.75,81.0,81.0,89.25,1
93.75,81.75,80.25,90.0,1
91.5,81.0,79.5,85.5,1
96.0,83.25,85.5,84.0,1
94.5,82.5,84.0,84.0,1
96.75,84.75,86.25,85.5,1
93.75,82.5,84.75,87.75,1
94.5,83.25,82.5,90.0,1
94.5,83.25,82.5,88.5,1
91.5,80.25,78.0,105.0,1
93.0,81.0,82.5,89.25,1
93.75,82.5,84.0,89.25,1
91.5,81.0,80.25,91.5,1
95.25,85.5,88.5,96.75,1
93.0,81.75,79.5,92.25,1
92.25,81.75,80.25,90.75,1
92.25,81.75,80.25,88.5,1
90.75,81.0,80.25,86.25,1
93.0,81.75,84.0,91.5,1
92.25,81.0,81.0,89.25,1
94.5,84.75,85.5,93.75,1
93.0,81.0,83.25,89.25,1
91.5,81.0,78.75,87.75,1
98.25,87.75,92.25,90.75,1
91.5,81.0,79.5,89.25,1
90.75,80.25,78.75,90.75,1
91.5,81.0,81.75,93.0,1
92.25,81.75,82.5,93.75,1
93.0,82.5,82.5,84.0,1
93.0,81.0,83.25,88.5,1
93.0,82.5,84.75,89.25,1
93.0,81.75,81.0,84.75,1
93.75,82.5,81.75,93.75,1
92.25,81.75,80.25,92.25,1
94.5,83.25,84.0,87.75,1
93.75,83.25,83.25,89.25,1
93.0,82.5,82.5,96.75,1
95.25,84.0,83.25,87.0,1
94.5,83.25,84.75,87.0,1
95.25,83.25,85.5,89.25,1
99.0,87.0,90.0,90.75,1
93.75,82.5,84.0,84.75,1
93.75,82.5,83.25,87.75,1
94.5,82.5,82.5,86.25,1
96.0,84.75,86.25,89.25,1
92.25,81.75,79.5,87.75,1
92.25,81.0,81.75,87.0,1
95.25,83.25,82.5,89.25,1
93.0,82.5,85.5,82.5,1
93.75,82.5,83.25,87.0,1
96.75,84.0,84.0,87.75,1
93.75,82.5,87.0,89.25,1
94.5,82.5,84.75,85.5,1
93.75,82.5,84.75,89.25,1
93.75,82.5,87.0,87.75,1
93.0,82.5,82.5,87.75,1
93.0,82.5,82.5,91.5,1
94.5,84.0,84.0,90.0,1
93.0,81.75,83.25,87.75,1
95.25,82.5,83.25,84.75,1
94.5,84.0,81.0,97.5,1
93.75,83.25,84.75,92.25,1
93.75,82.5,81.75,92.25,1
93.75,82.5,82.5,90.75,1
93.75,82.5,83.25,87.75,1
94.5,83.25,85.5,89.25,1
93.75,82.5,84.75,86.25,1
94.5,84.0,85.5,93.75,1
96.0,86.25,90.75,88.5,1
99.0,87.0,87.0,90.75,1
94.5,84.0,84.0,84.75,1
95.25,85.5,87.75,87.75,1
94.5,82.5,83.25,88.5,1
95.25,84.0,85.5,87.0,1
96.0,85.5,86.25,95.25,1
95.25,84.0,84.75,86.25,1
91.5,81.75,78.75,81.75,1
93.75,82.5,83.25,82.5,1
96.0,84.0,86.25,85.5,1
97.5,86.25,85.5,86.25,1
95.25,82.5,85.5,84.0,1
93.75,82.5,84.0,84.0,1
96.0,84.0,84.75,85.5,1
94.5,82.5,82.5,86.25,1
95.25,83.25,84.75,83.25,1
96.0,84.75,87.75,88.5,1
98.25,88.5,92.25,101.25,1
93.0,81.0,81.75,84.0,1
97.5,84.75,85.5,87.0,1
94.5,82.5,85.5,84.0,1
93.75,82.5,84.75,84.0,1
95.25,83.25,84.75,84.75,1
95.25,84.0,84.75,86.25,1
94.5,83.25,85.5,84.0,1
95.25,84.0,85.5,87.0,1
94.5,83.25,84.75,84.75,1
95.25,84.0,84.75,84.75,1
93.0,81.0,81.0,82.5,1
95.25,82.5,84.0,84.0,1
95.25,83.25,84.75,84.75,1
96.75,85.5,87.75,89.25,1
95.25,83.25,84.75,89.25,1
96.75,84.0,86.25,93.0,1
96.0,84.75,84.75,96.0,1
93.0,82.5,80.25,90.0,1
95.25,84.75,87.0,95.25,1
92.25,81.75,82.5,89.25,1
93.75,81.75,82.5,91.5,1
92.25,81.0,81.75,89.25,1
91.5,81.0,80.25,94.5,1
94.5,83.25,83.25,90.75,1
95.25,84.0,87.0,91.5,1
94.5,83.25,83.25,90.0,1
93.0,81.75,82.5,94.5,1
94.5,83.25,83.25,90.0,1
96.0,84.0,84.75,91.5,1
93.0,83.25,84.0,96.0,1
93.75,82.5,82.5,89.25,1
91.5,81.75,82.5,93.0,1
91.5,81.0,83.25,89.25,1
90.75,80.25,78.75,88.5,1
93.0,82.5,80.25,93.0,1
93.75,81.75,81.75,89.25,1
